iter	Passed	Remaining
0	131	131784
1	175	87484
2	222	73880
3	260	64784
4	305	60882
5	355	58883
6	389	55249
7	432	53683
8	471	51884
9	501	49695
10	540	48557
11	568	46772
12	600	45578
13	656	46208
14	725	47611
15	808	49699
16	898	51975
17	959	52353
18	1007	52003
19	1041	51045
20	1065	49687
21	1092	48573
22	1120	47600
23	1141	46427
24	1172	45744
25	1198	44905
26	1223	44087
27	1251	43430
28	1281	42905
29	1310	42376
30	1335	41748
31	1368	41400
32	1394	40866
33	1415	40223
34	1438	39651
35	1460	39098
36	1480	38539
37	1500	37978
38	1519	37440
39	1539	36952
40	1562	36557
41	1584	36142
42	1604	35716
43	1631	35451
44	1669	35437
45	1722	35723
46	1756	35612
47	1789	35488
48	1816	35245
49	1840	34966
50	1862	34650
51	1908	34794
52	1966	35130
53	2011	35241
54	2058	35374
55	2093	35289
56	2146	35509
57	2185	35493
58	2213	35296
59	2242	35140
60	2282	35130
61	2308	34922
62	2333	34707
63	2362	34545
64	2380	34245
65	2399	33960
66	2419	33688
67	2440	33455
68	2461	33218
69	2481	32971
70	2508	32820
71	2540	32743
72	2572	32665
73	2597	32506
74	2623	32358
75	2647	32190
76	2674	32054
77	2696	31871
78	2720	31713
79	2744	31562
80	2768	31411
81	2791	31246
82	2814	31098
83	2835	30917
84	2855	30733
85	2875	30556
86	2894	30380
87	2914	30206
88	2939	30090
89	2962	29950
90	2983	29797
91	3018	29794
92	3042	29668
93	3069	29582
94	3090	29438
95	3109	29281
96	3130	29143
97	3152	29019
98	3174	28886
99	3196	28765
100	3216	28627
101	3234	28476
102	3257	28367
103	3276	28224
104	3295	28093
105	3315	27965
106	3335	27835
107	3356	27725
108	3377	27611
109	3398	27493
110	3420	27394
111	3441	27285
112	3460	27164
113	3480	27046
114	3499	26927
115	3519	26817
116	3548	26783
117	3572	26706
118	3595	26622
119	3618	26538
120	3654	26550
121	3685	26523
122	3716	26500
123	3747	26472
124	3775	26429
125	3813	26454
126	3849	26463
127	3875	26399
128	3898	26322
129	3956	26475
130	4005	26571
131	4047	26613
132	4082	26615
133	4103	26521
134	4131	26474
135	4159	26425
136	4184	26359
137	4212	26315
138	4243	26285
139	4268	26222
140	4290	26138
141	4311	26049
142	4336	25990
143	4357	25904
144	4380	25829
145	4402	25750
146	4424	25676
147	4446	25598
148	4473	25550
149	4502	25512
150	4528	25460
151	4556	25421
152	4579	25353
153	4604	25294
154	4628	25235
155	4651	25168
156	4674	25101
157	4694	25020
158	4712	24927
159	4732	24847
160	4753	24770
161	4773	24693
162	4792	24610
163	4812	24533
164	4832	24455
165	4850	24370
166	4871	24300
167	4890	24218
168	4910	24143
169	4929	24069
170	4951	24005
171	4970	23929
172	4991	23859
173	5009	23782
174	5028	23705
175	5048	23636
176	5068	23567
177	5087	23492
178	5107	23426
179	5127	23360
180	5148	23298
181	5167	23227
182	5187	23157
183	5206	23089
184	5224	23017
185	5243	22946
186	5263	22883
187	5281	22811
188	5299	22740
189	5318	22672
190	5338	22611
191	5357	22545
192	5376	22482
193	5396	22419
194	5414	22351
195	5431	22281
196	5452	22224
197	5470	22157
198	5487	22087
199	5506	22025
200	5525	21963
201	5546	21910
202	5564	21848
203	5583	21788
204	5602	21725
205	5620	21663
206	5640	21608
207	5659	21550
208	5676	21484
209	5694	21423
210	5713	21366
211	5732	21308
212	5751	21252
213	5771	21197
214	5789	21137
215	5807	21080
216	5825	21020
217	5844	20966
218	5864	20912
219	5889	20880
220	5914	20848
221	5935	20800
222	5952	20739
223	5968	20678
224	5987	20623
225	6006	20569
226	6023	20513
227	6044	20466
228	6063	20414
229	6083	20364
230	6102	20316
231	6121	20264
232	6141	20215
233	6161	20168
234	6180	20120
235	6199	20068
236	6216	20012
237	6239	19975
238	6258	19926
239	6276	19876
240	6294	19824
241	6313	19773
242	6332	19727
243	6351	19678
244	6371	19634
245	6390	19586
246	6407	19533
247	6426	19485
248	6446	19443
249	6467	19401
250	6485	19354
251	6504	19307
252	6522	19258
253	6543	19217
254	6562	19171
255	6581	19126
256	6599	19080
257	6617	19031
258	6636	18987
259	6654	18941
260	6674	18899
261	6692	18852
262	6709	18802
263	6727	18756
264	6749	18720
265	6767	18674
266	6786	18631
267	6803	18583
268	6821	18537
269	6842	18500
270	6860	18455
271	6880	18414
272	6897	18368
273	6917	18328
274	6939	18293
275	6960	18258
276	6981	18221
277	7000	18180
278	7021	18144
279	7045	18117
280	7067	18084
281	7088	18049
282	7111	18016
283	7135	17989
284	7157	17957
285	7179	17922
286	7199	17886
287	7223	17857
288	7246	17827
289	7270	17800
290	7291	17764
291	7316	17739
292	7340	17711
293	7359	17673
294	7382	17642
295	7402	17606
296	7426	17579
297	7449	17548
298	7471	17516
299	7494	17487
300	7520	17465
301	7548	17446
302	7571	17416
303	7592	17382
304	7614	17350
305	7638	17324
306	7659	17289
307	7680	17255
308	7702	17223
309	7727	17199
310	7750	17170
311	7770	17135
312	7790	17099
313	7814	17071
314	7834	17037
315	7855	17002
316	7878	16975
317	7901	16945
318	7922	16913
319	7941	16875
320	7963	16844
321	7980	16804
322	8000	16768
323	8026	16745
324	8051	16722
325	8083	16711
326	8134	16742
327	8205	16812
328	8257	16842
329	8327	16907
330	8364	16904
331	8429	16960
332	8459	16945
333	8478	16907
334	8503	16879
335	8526	16850
336	8547	16816
337	8568	16781
338	8586	16742
339	8605	16705
340	8627	16673
341	8648	16638
342	8668	16604
343	8689	16570
344	8714	16544
345	8738	16517
346	8767	16498
347	8792	16473
348	8822	16456
349	8841	16420
350	8859	16381
351	8876	16340
352	8895	16304
353	8916	16270
354	8934	16233
355	8953	16197
356	8970	16156
357	8989	16121
358	9009	16086
359	9032	16057
360	9051	16021
361	9069	15984
362	9087	15947
363	9107	15912
364	9127	15879
365	9146	15844
366	9164	15806
367	9182	15770
368	9201	15734
369	9220	15700
370	9239	15664
371	9257	15627
372	9277	15595
373	9296	15560
374	9317	15528
375	9335	15492
376	9352	15454
377	9369	15417
378	9387	15381
379	9406	15347
380	9425	15314
381	9443	15277
382	9461	15241
383	9478	15205
384	9497	15170
385	9519	15142
386	9538	15108
387	9555	15071
388	9573	15036
389	9592	15004
390	9613	14973
391	9631	14938
392	9650	14904
393	9667	14869
394	9685	14834
395	9705	14802
396	9723	14768
397	9740	14732
398	9756	14696
399	9775	14663
400	9795	14632
401	9814	14599
402	9831	14564
403	9850	14532
404	9869	14499
405	9890	14470
406	9909	14438
407	9928	14405
408	9946	14372
409	9964	14339
410	9983	14307
411	10001	14273
412	10025	14249
413	10044	14217
414	10061	14183
415	10081	14152
416	10099	14119
417	10120	14090
418	10138	14058
419	10155	14023
420	10175	13993
421	10194	13962
422	10215	13934
423	10232	13900
424	10250	13867
425	10268	13836
426	10288	13806
427	10308	13777
428	10327	13745
429	10345	13714
430	10369	13689
431	10396	13669
432	10420	13645
433	10443	13620
434	10465	13593
435	10492	13572
436	10529	13565
437	10553	13540
438	10579	13519
439	10612	13507
440	10641	13489
441	10682	13485
442	10721	13480
443	10756	13470
444	10806	13477
445	10834	13458
446	10861	13437
447	10895	13425
448	10926	13408
449	10954	13389
450	11033	13431
451	11131	13495
452	11224	13553
453	11291	13579
454	11337	13579
455	11426	13631
456	11466	13624
457	11511	13623
458	11554	13618
459	11593	13609
460	11624	13591
461	11659	13576
462	11693	13562
463	11724	13544
464	11747	13516
465	11771	13488
466	11797	13464
467	11834	13452
468	11865	13434
469	11898	13417
470	11951	13423
471	12001	13425
472	12043	13418
473	12087	13413
474	12120	13396
